9687 27657
9022 22 -493
7374 4233 973
3540 3923 457
3588 4927 886
3281 9060 152
9140 3318 332
1374 5385 -541
8870 3793 602
5160 5499 848
2898 6167 288
5105 2456 720
8859 5766 838
7156 2968 70
4586 6198 806
8907 8554 -190
5908 7387 889
2303 3624 -464
5677 237 -512
4062 3079 284
2015 8372 -298
1565 6694 -116
7705 29 -524
3012 3771 -757
1593 3940 -109
3638 3203 -108
4267 4583 929
3451 1550 -747
991 9142 195
4182 602 -226
2663 8578 -383
6879 4549 -512
2564 3581 809
6031 1094 343
7424 7205 -828
2354 9128 445
152 457 545
952 6703 715
7486 8525 70
3250 7928 -662
5555 5648 818
4681 7942 970
5398 8338 51
6128 2902 540
1648 2538 -818
628 4197 845
353 2279 -177
5739 3887 7
996 9592 -372
6003 7356 -413
6010 5767 -851
3115 6306 446
8554 1837 840
1846 5000 -502
8397 149 -278
7301 1405 -805
1193 5972 227
6863 3205 578
2387 7637 199
4898 1835 -497
2333 6977 148
4469 6142 -908
5678 5236 368
5280 6868 806
3585 4525 -210
3806 6644 743
2313 7012 33
1499 414 -72
8763 3109 184
1521 5331 -947
4425 8248 927
1573 422 455
5913 9403 466
6829 7878 576
4646 6527 -821
4260 6915 578
845 3462 -365
4558 6005 148
7424 1089 -750
8638 3505 -849
7204 8865 954
5021 8803 98
2728 4936 317
4749 8770 -457
9091 9570 -208
2845 866 -548
294 8882 93
5475 7106 -173
7434 6502 836
5458 6661 441
4749 8199 104
66 8472 757
6950 5259 -301
2923 73 -874
5289 1903 -763
381 7748 642
7595 32 694
9635 9113 -518
93 5238 -792
135 8186 -201
9286 921 -182
9211 3969 -264
4694 3151 210
9154 8723 476
8125 2522 -139
2445 3676 -586
3241 4560 -503
190 8379 906
3760 9619 -933
2353 4638 -116
5896 8138 -208
2726 8086 -813
7688 4119 160
2207 2664 584
7049 9197 -431
857 1084 -483
7195 6820 -668
7870 1242 -221
731 3085 -8
4782 2729 -893
494 6763 -229
1136 1823 201
6744 537 -606
8711 3128 -177
9477 7410 -616
1469 1980 -333
1785 7237 604
8373 6840 658
5645 7989 568
8748 8373 -635
8 4959 -409
7154 1489 -632
2031 7676 69
3281 6689 -962
9598 8268 643
3677 6104 -915
2485 8387 721
1886 6298 560
6574 9504 243
2677 9181 496
8826 2921 -327
8751 7367 157
9479 4431 507
7650 3809 929
8489 1504 770
1940 6663 837
4037 3626 -414
4091 4293 455
2521 5939 -1
1424 9122 -655
2517 9293 -709
5706 8802 938
212 3270 -467
4625 5317 486
2398 6486 -598
8513 7553 -34
9131 1466 199
9266 8274 344
879 8082 463
3945 7802 -552
7849 875 90
4097 7789 -1
3187 197 -55
8425 4964 -887
7819 7325 275
8434 3547 -797
7703 7563 -144
2299 3987 -11
3309 2264 -144
3091 8946 -897
2255 5775 -243
6638 1359 -347
2691 2341 -202
8251 3287 549
2889 5700 834
7741 2846 175
2465 4134 741
5033 5118 460
9107 433 -932
5707 7393 -591
3799 7824 -709
7507 7809 513
6414 7442 12
8788 2683 772
3377 3081 366
8683 8569 905
8994 6206 166
1744 2027 727
3855 8287 -91
7116 1899 -658
4155 2704 1
203 5643 160
3807 6243 932
6039 6643 290
6116 8894 -967
8170 3247 -819
9636 5103 569
1696 3291 269
7 6794 68
3076 1965 184
7181 3288 -504
7091 9010 432
5487 5165 -904
8864 3424 -510
4679 7085 -963
2951 9076 -440
8702 4979 -699
7038 6901 -921
6798 6622 -789
3356 2635 -200
685 4293 232
7972 858 -846
5191 6781 -869
2357 516 -624
8057 1068 989
7200 6806 412
52 4300 -966
3813 6941 -739
4475 2331 467
6217 7498 884
7980 5286 -856
7141 2703 -191
1194 8200 285
9287 1634 13
5192 6859 930
8737 6797 -920
3604 1581 125
1217 9682 -907
914 9335 -628
1646 183 -105
5327 1781 -302
6780 1282 -12
8359 4084 925
4142 5267 30
6145 2756 -615
8527 9172 606
4292 771 778
1642 2091 -667
8247 2183 -829
4168 4554 385
5443 8600 -925
973 7440 -756
7156 2156 350
3674 8038 -941
6043 9303 523
1713 7435 20
9040 5461 972
5809 4555 312
3616 272 -42
5865 4394 279
6174 3870 238
8146 3460 -886
766 7363 986
6002 7748 -909
5673 684 -704
2259 3174 -909
1930 2404 797
5341 5795 -849
9149 3116 -169
3515 7221 -740
9320 5176 -963
3001 542 760
8309 2409 886
4992 5075 424
4523 2046 719
7447 1950 -388
5090 7247 -849
3593 5111 686
9039 8832 -547
2823 2872 -348
9401 7010 -329
6330 6270 -98
1541 329 695
6918 1286 -812
3889 7326 980
1526 7770 -875
4139 2942 526
463 6997 -220
7586 9565 -348
4159 7447 150
6047 436 769
6646 5706 -488
8767 3621 -651
5240 7924 -915
5519 9570 189
6898 2825 -39
4897 6672 -786
8835 5210 520
8644 4054 792
3905 4066 847
1943 976 -855
5326 3778 997
5638 9270 -966
7511 4658 -91
9086 6281 73
2132 1290 597
8165 5236 -599
9644 7039 -398
4023 2921 -423
924 8935 -228
6984 5784 995
1694 3978 5
4247 8806 -339
4532 7897 970
8681 2541 -18
7141 7548 609
9007 3065 -743
8642 1617 199
9229 1551 -917
6668 4040 589
29 5960 526
3375 3527 -743
1956 3043 814
590 5394 -654
8051 734 484
3137 1265 296
4504 7420 351
6489 4293 670
6912 9025 289
78 5578 903
6009 1243 -11
1015 9468 -420
2099 943 -937
4928 8659 -752
3989 3583 182
2447 4321 -916
8795 4378 473
4750 7194 -407
7676 4398 182
2663 6562 98
8071 4082 -750
8821 1987 514
6220 7628 -361
5605 6500 38
1643 5270 -556
191 7152 571
6751 3352 698
1524 432 -2
7931 8441 884
299 6901 -388
2121 7498 -35
8426 9024 -151
3500 9524 -44
553 7343 593
7039 6055 492
6101 7035 815
7798 841 663
8990 2367 -223
6183 51 -874
731 2671 -393
5395 2662 743
6670 82 -724
4864 9547 -752
3042 2013 370
7616 9679 867
5453 70 -736
6594 6952 -678
2203 722 -902
6007 8940 394
8527 3889 -475
5407 9440 50
5665 7973 -191
372 9424 327
6925 4191 285
3122 4180 526
7330 2388 -980
6588 8717 662
678 3758 -34
9128 3568 219
8204 1758 904
7757 6730 -12
3366 4035 -597
3330 5972 825
4075 3077 121
741 1076 142
8281 2307 677
1517 1537 -762
1711 1341 133
3674 8285 187
8775 3299 297
7084 5877 -88
3826 7713 -939
7239 8074 -448
6725 2974 232
2587 8796 721
540 1078 -589
1001 4378 873
3160 6592 272
8409 4937 -913
5119 8242 -846
4837 4527 -183
5743 5042 227
3268 8378 279
9159 8759 -706
2791 6366 -472
2392 4745 807
1059 8169 53
4939 4867 396
7242 1068 -632
761 185 -652
3001 7233 -866
9616 6940 -147
1349 4991 -710
2796 2482 358
4682 6089 -906
8671 6779 547
8749 3830 973
8110 340 563
1261 5908 -987
8363 2197 383
2988 373 -935
5946 6539 164
2950 1367 91
4270 2650 89
1010 5954 305
6926 726 -494
4588 9394 -672
4912 69 656
7293 6358 -889
7198 4448 -857
579 8994 -554
6853 7121 978
3366 1667 -775
309 823 -457
5216 2210 -780
8966 5925 -953
3582 3815 636
2159 5267 -18
4719 3966 287
3548 2085 73
9133 2292 -347
410 11 -146
8061 4353 391
6253 6940 261
6487 7866 -11
1116 1451 -73
5636 2306 -594
8742 1243 855
7500 4485 -739
4101 7352 -643
8164 9099 700
5103 7107 592
335 9687 195
3397 4607 -474
3624 5798 591
5916 665 261
485 2136 -495
7026 7002 -610
5608 2184 -752
209 6292 770
6435 1912 267
4562 8678 45
5279 3838 475
3635 7020 -454
3073 192 -569
5353 5860 147
1555 975 154
8500 7764 -549
2156 2448 -79
8060 27 777
7155 1371 -227
7950 3841 759
1480 6560 -461
1268 5306 855
6153 4081 89
4496 1621 526
2532 2030 -665
8983 9065 -74
568 9628 -863
9153 6787 726
230 8433 -733
7187 6289 -977
9346 6522 -96
1038 3702 -830
4585 7103 -109
4380 632 -200
4790 3560 -104
2623 8639 -292
6877 4811 -625
6892 710 -15
6929 9615 -41
4453 7751 518
584 227 823
5578 8263 -79
7353 4333 609
444 7563 -50
5720 2496 704
7602 1787 18
6005 4261 -582
38 5238 -245
785 6481 -916
7268 2191 411
8877 7959 -65
5676 3832 992
9041 5823 117
7442 168 846
3714 1979 282
3275 2712 -948
5653 1889 312
4574 2952 265
4487 3871 383
6130 9544 64
3421 8207 814
9388 7878 -337
1216 956 889
7284 402 468
203 7849 914
7165 4280 -24
3862 6830 852
4893 6467 -31
3438 8099 340
3181 1590 -881
3803 8471 -811
7523 7754 -201
5206 4517 359
3048 4857 -961
8926 3294 357
5654 9340 -951
5010 54 813
8396 5755 -255
4190 8225 388
1805 3737 616
3487 4704 879
6437 5509 -140
3601 1242 851
4981 7516 -651
5313 4353 -222
6675 2668 -458
8503 1317 -401
7739 5197 846
5721 4365 738
4 3811 -550
898 1558 833
8416 3856 370
5098 9220 695
9567 4968 97
5748 5605 647
862 7 703
4649 6105 447
6638 8629 426
6179 3187 405
3423 5164 -557
1829 7250 -3
3855 2618 110
5935 1124 355
7705 370 -918
507 5488 -601
2061 1106 -788
9369 8213 -45
1463 8878 602
129 4125 86
4168 8235 188
2725 4769 -199
4143 1737 570
7509 9146 -972
3036 2469 -788
8599 9545 -926
9072 2293 -445
4788 624 807
2598 7986 -457
6931 6578 -467
5649 657 -883
9473 3739 833
4761 5880 130
2859 3775 -441
891 4251 -671
9250 7616 851
4396 1487 -572
9417 7393 885
8000 766 -139
3417 1932 971
19 1526 -470
107 942 -15
2953 8592 -996
3779 3145 962
6509 8351 499
1673 3289 618
6706 9313 865
5094 5139 -891
3654 549 -731
66 4925 686
170 7507 -414
5247 8741 -143
3236 2156 -94
5750 2655 216
2746 394 -518
3768 3563 -895
1379 8372 -46
583 8912 -66
4720 424 -150
8116 9198 -459
3354 2575 630
9192 3090 340
8595 7956 -466
4280 2474 -15
7243 6757 571
1314 5685 -311
2344 3988 -983
6568 8982 -914
7823 1636 903
882 73 -216
4064 8615 -710
4973 8623 757
1276 1294 -425
5731 5463 -255
947 2580 701
1997 3672 -733
8248 6596 339
9584 67 399
1918 605 -65
6084 3239 -247
4986 3349 724
3740 8357 740
6024 6770 667
8248 6462 -136
7091 6082 766
1750 7601 233
6170 9298 -516
8441 5640 940
6505 6427 -557
5315 1607 -297
7920 9274 -702
4187 8074 -707
3107 4694 587
9293 3387 583
8399 8741 99
4698 5082 -216
8913 5770 -234
3266 4556 846
6094 4338 -152
4273 2821 615
6250 6469 -16
3544 8604 -888
160 1425 -686
5088 6395 -566
5950 6621 -879
5097 9601 71
7164 2509 653
935 567 263
2003 4511 -136
438 1001 -143
2691 2458 -973
119 4666 838
2936 7888 -614
5268 7475 382
6285 3710 662
5157 4414 965
5520 2748 -406
896 6449 -872
4644 3455 900
8021 7855 -152
4949 8182 -644
4179 805 -327
1496 5483 583
1923 7122 -986
4727 1594 191
5566 4482 348
7937 6742 -973
1406 7735 -39
7743 6425 -737
1645 2670 -128
5471 4600 523
598 6290 575
6543 4774 -131
8618 7619 -112
4713 7763 -641
4533 187 -408
1510 4302 -290
5501 63 630
3159 4385 108
5353 2916 557
2289 7119 839
7601 3988 87
7708 5735 -755
6426 9423 121
4279 2876 -779
276 8792 323
8202 1569 544
2238 2045 391
5295 4514 -450
9241 1063 997
7558 240 -876
597 2333 -46
4981 338 563
6349 8662 -374
9177 1588 598
9499 7748 -257
52 9255 -312
4107 2380 -645
3595 7911 -34
6636 2822 -697
7227 7653 400
4777 229 -242
1338 3928 -831
2544 8604 106
8479 632 204
5430 6832 -506
1332 7757 -417
3671 527 -387
6107 2342 797
9658 3967 -704
6732 9466 -854
6370 6188 -491
907 7578 201
2899 3280 169
4243 5903 -246
8049 4359 641
4597 8594 -926
1380 1621 -31
2547 8189 957
2387 5829 385
1732 6737 -642
7168 7233 633
9514 8640 880
2457 1464 -772
1834 2579 -940
5628 3301 645
1147 7145 -104
8746 1171 -6
6912 483 -901
8181 8221 -917
1086 9648 15
6279 817 999
2788 7554 -631
4623 1586 -411
1351 7747 645
6363 6143 -525
182 443 585
6122 8092 -295
8984 7303 801
859 6960 -311
893 354 -156
7687 2320 -895
5192 3503 673
7938 1450 845
4864 1146 -364
9510 4268 -376
1276 7741 50
8332 4979 407
9161 5322 -108
2390 8954 -53
1400 5114 -211
7540 5885 371
5515 8937 470
807 9374 244
4698 3672 761
7742 6532 609
7347 7685 -995
213 1937 -854
6985 143 -350
3525 2866 -269
7143 5107 -922
3913 4171 -532
4798 4184 -608
209 1134 840
7181 4404 545
6131 8317 485
4157 6609 -839
6684 6437 673
8590 1622 861
1688 312 971
7403 8440 499
3869 2733 622
8305 5234 -701
5445 2293 670
8564 826 912
4415 1913 450
7981 9563 -893
2223 3990 878
1363 7028 958
7909 3723 -765
2506 3297 217
3736 5460 -716
6413 3841 12
2550 5396 -304
1267 5818 -243
9374 5777 -637
7008 1317 921
8835 4390 186
5229 7835 32
6745 3762 138
4823 9335 -268
3596 5509 707
8451 6873 795
6007 2096 374
334 6090 -920
8356 92 570
6196 9687 -538
9147 664 -45
340 3883 208
3441 8258 816
261 1181 -563
3989 8617 -893
6594 1373 -383
8967 3748 -916
5481 7854 -158
9105 8034 807
7680 2087 -789
9505 7952 99
2033 8061 -112
1449 6743 846
3565 4578 -409
5826 8810 17
4761 7823 994
5345 4068 989
1724 6140 386
383 8363 -369
3201 2020 -377
4624 9200 -766
5572 7276 354
3523 4952 62
256 1570 231
4309 1768 -675
6487 1324 12
7305 1386 903
600 2188 -273
2984 9037 -131
2147 4 36
6751 1236 -367
6342 6069 -424
1944 7508 -913
1787 8013 -212
7868 5974 -316
3310 1770 698
7874 7222 -411
7070 6432 -247
2351 7313 -107
566 2204 640
2272 8008 -348
2446 414 -279
9587 1437 834
1434 3534 -361
5934 792 -399
1091 6718 -605
4012 7340 -424
7506 9512 -193
8913 6861 -134
5408 5751 -206
6248 2321 794
7633 1835 -930
8203 1589 931
5884 2146 -168
2951 1160 724
2378 3838 123
2353 6366 -9
3602 6421 -980
7042 5424 -84
4177 6313 -292
3922 6457 -739
6144 5624 -922
5360 3749 -20
3000 4393 -260
1646 8771 -11
477 2503 238
6916 8570 -423
1588 635 406
6788 9641 -562
2019 3389 75
8653 7814 -10
515 1475 -87
4767 1705 614
8300 8683 -527
2903 9224 -608
247 3382 -810
6977 8216 113
3619 2956 -531
8821 4856 70
361 7174 -208
8681 3993 875
6911 7185 483
5345 9641 239
7517 1877 725
3438 8446 -360
3534 5024 795
7451 6473 -983
9472 113 93
4310 44 -641
3164 7475 -807
9017 1255 -977
6022 8155 -253
9277 1114 -187
1580 374 501
3595 3020 690
4157 58 -881
4995 3421 569
9158 8974 -781
3790 7845 392
3423 2954 523
1298 6122 425
2873 812 -829
6597 7480 -981
4975 2221 -37
7767 1233 -326
5066 3143 -266
3001 3140 964
7439 4078 250
3830 1737 -274
4553 6956 -323
4198 7122 -490
915 3828 925
5909 7392 1000
5875 8730 -741
1249 7733 -37
8931 7621 -1000
6869 6303 -656
9624 7751 -438
4444 7892 308
4257 2125 511
5423 2098 101
8732 7654 913
4123 9385 1
5983 9359 -227
5670 6532 838
8683 1752 175
11 458 -904
3385 7904 543
1539 2967 366
813 8856 -996
1541 6422 981
8671 7138 -134
3836 3478 966
648 5711 947
9208 5917 -562
7043 6612 1
41 5919 -232
1575 4581 -17
3209 4475 979
9264 8570 -272
5413 2983 -844
2606 2529 273
3417 6074 563
9273 1490 -644
4017 8885 -151
1267 5283 -305
99 2252 -256
4827 6283 -904
1498 6699 -988
7016 6655 -815
9209 6330 -708
8097 3409 -330
6225 3783 -299
1417 770 433
1591 4638 738
673 8131 -502
4005 7937 578
2097 7023 253
8019 7782 515
4271 5358 183
3467 2377 804
1060 2076 350
7851 545 333
8008 7031 -361
1357 5946 -956
3746 889 5
1908 9110 -713
19 6611 -855
5777 4950 -157
5347 1242 716
6010 3193 -829
8462 269 -386
316 2038 423
4328 2932 86
7524 2668 -844
128 9091 -856
3219 7178 -935
7620 7401 -184
9358 6844 4
5155 2760 -343
2128 5298 -823
5348 3217 467
2748 2479 248
1205 8580 660
4803 2991 784
807 6669 -976
3629 925 -584
1989 3866 -618
9004 5985 -787
8804 8075 275
4279 546 -118
1549 6333 -76
9648 4859 941
858 5148 -924
6651 4974 141
3095 5682 359
1259 9206 -157
7725 1497 874
5082 8879 149
3993 3359 -497
3106 1897 285
4286 367 -306
4369 4423 -901
7298 2666 -48
8646 1363 -701
8809 8937 -937
2592 2271 926
7529 795 -207
5453 502 695
6549 8690 -856
5196 3204 -771
7975 1107 -660
9448 2631 53
2091 1542 -774
7550 6632 610
6708 134 232
1975 3693 -870
885 7392 167
7177 2884 334
6597 648 312
249 7871 -346
4937 3701 615
1734 5729 195
215 1501 424
784 9340 320
9462 5687 269
9433 1439 659
4595 6062 -463
8482 6552 -9
6035 3859 724
6190 5894 63
6107 6425 -507
3020 4553 -887
5177 7877 642
7545 1768 436
299 4734 -53
7919 9279 610
3244 8021 91
7616 2670 -497
8835 1986 -301
5297 6085 -695
8254 2848 -56
8981 6741 -227
6170 1728 -397
1832 8941 625
7794 3658 -967
5325 597 637
1625 362 241
9047 5406 994
5734 1231 435
9576 5889 728
2761 9512 357
7954 7094 -150
7974 3738 -733
8870 585 202
3515 2519 649
1840 6660 -233
9311 4278 -376
9186 5473 -937
7530 1536 -14
5694 8389 213
3094 4752 16
7795 1935 111
9442 745 -548
8158 8528 944
4227 5010 79
4340 7485 88
4789 5369 -32
7720 2304 -435
3522 2522 -972
4047 9666 -583
1213 729 26
7185 1906 162
3897 377 955
7129 9317 629
9425 2791 -507
6170 2919 -486
669 5069 841
1251 3077 808
4829 6512 -610
1351 630 534
6089 5580 241
3886 4602 -152
6052 175 -968
2951 5082 -269
4193 1870 -313
3483 8554 56
6990 1782 108
1817 4379 897
3281 6626 -392
5117 1908 813
1135 1148 886
7562 1745 -812
1085 9516 -673
887 4741 -589
8264 8917 -849
3093 2610 -42
3266 4357 287
7092 5727 982
3636 7127 -797
9156 9560 -893
2668 511 678
916 7056 -419
1904 2765 -289
4809 7810 95
6851 8771 168
3989 8196 946
9591 8260 -529
1846 8422 -780
3008 8097 -307
5574 2648 -462
1363 533 757
3514 2648 -852
5464 5091 935
7467 7030 -955
184 2176 239
8029 7592 464
5798 972 -441
2584 1500 597
147 9492 657
4911 853 -532
1580 2557 -771
2020 8761 408
6364 3385 900
6950 7843 639
4346 9677 -794
7090 2330 114
7690 1030 948
4886 6437 -640
4399 7817 -329
2402 2243 6
5338 218 867
2443 9132 -741
2705 2 -916
4671 8849 253
4203 6566 932
9348 6633 -787
8839 9119 -610
8325 5124 -156
3661 8176 803
1204 2994 176
3893 2167 -905
1218 5992 -452
6099 2345 43
7355 7992 170
5248 3881 493
3272 4065 -149
8665 9026 988
4762 2560 206
3680 5568 229
3432 9588 -771
7059 8505 -950
1685 3211 16
3388 6023 -906
6624 6484 90
488 4487 971
2068 7807 -188
5594 1826 -945
5317 7896 920
938 1183 717
2075 5963 833
6847 3248 763
1607 4791 -198
260 7528 -582
294 2990 -296
7672 2117 17
403 8653 -792
4596 1041 -507
9371 7275 172
1911 5289 742
2845 2775 270
3200 6809 -608
2531 473 920
2422 2793 473
2644 1235 843
3589 6958 -628
6075 2672 -632
2109 5232 -405
2563 1705 293
6853 6249 -909
1240 1323 914
4782 1686 -11
2409 959 891
3469 672 -576
3974 5425 829
1472 9446 515
7719 254 -962
5328 2699 673
8343 4604 -710
7078 526 -974
518 7857 869
6401 2220 914
3978 9363 -631
4395 8857 445
8624 9571 -253
7463 5983 282
5358 7188 -889
6800 1713 929
1009 9329 134
6537 9203 -993
8897 4511 217
7221 1125 718
7278 974 -992
5168 1494 303
9404 3256 -801
4136 764 -111
8554 3629 363
4427 1517 646
4688 3934 439
5029 263 911
6848 628 -102
6834 4127 -85
2257 4423 492
1148 1551 -964
3855 3443 -960
1326 8371 923
7742 2040 -284
7324 6589 -743
8278 9509 -462
9634 4716 -110
2799 6806 275
3732 1399 522
603 6879 -826
3860 7376 -428
5225 4371 389
4946 8532 -8
2972 7806 -253
8400 3044 -46
336 9225 208
4266 2227 -950
3958 5170 434
7205 5941 777
3743 3500 317
7612 4786 385
5631 8935 -254
9505 4484 -372
1621 3687 -388
3206 6843 30
7000 5089 -24
4498 5913 -592
2076 7412 -6
5222 1753 602
2181 3336 894
6441 6007 968
6412 6208 171
3395 1668 -40
861 7866 -428
609 7691 320
3612 6818 451
3153 8509 -768
4669 2009 428
1779 6387 -69
6930 6201 -201
7926 211 -112
7136 1408 -598
4982 980 116
750 2959 155
5144 7975 -843
8799 103 -293
4788 3565 -260
7705 5038 302
5551 1596 -819
5331 7798 410
7371 5927 446
9576 9217 683
8601 5054 -818
5441 591 -275
2441 61 -943
8579 1892 -994
9246 5197 -231
7883 7574 -337
4185 1752 55
1740 6729 189
8932 8786 41
4983 4753 -326
9108 7202 -35
3176 4411 510
3950 4159 -404
9313 772 -609
8665 1012 475
6719 3044 867
2151 5527 657
7882 4873 177
8784 7044 81
2843 8861 99
9274 458 844
9464 6360 -855
4012 2473 769
9572 1279 53
7624 6539 780
6159 1615 -524
7000 8133 -890
4168 9093 -328
2082 4028 871
5552 7720 724
2402 444 -488
6561 3928 14
7538 6083 -198
2868 1642 624
8042 8970 -783
9622 3559 876
8356 9649 -315
4202 927 241
9029 3226 -192
5643 3059 -202
1471 4462 461
7462 541 204
3591 8310 203
1917 2242 -925
4568 1403 792
4050 806 782
4207 7893 479
7681 7853 -400
3520 8666 -238
5338 8132 -226
8873 1218 -830
158 3862 105
2416 9097 -938
9547 2472 -755
7031 3879 68
5671 7741 188
791 4415 747
8265 2679 -882
7536 4261 50
3123 2319 834
384 4014 124
6221 9675 653
2993 569 -787
9516 5892 471
1860 502 -195
1830 3323 -890
1959 9272 750
4059 5889 529
5965 2380 150
1093 1835 347
1474 8314 -57
3881 6875 -852
7353 9447 601
8921 9347 750
8907 3501 -923
31 5913 -816
5634 5760 -947
5833 5464 -423
2793 2000 218
4703 512 568
3769 8417 194
7969 7237 864
7658 585 130
1180 9283 -522
6150 6590 416
8409 768 -910
8319 3776 -662
1130 6518 380
3995 6677 -80
2266 688 721
2607 3703 154
2434 6833 -693
101 5212 -222
7481 8100 482
1089 1777 784
269 8433 446
164 5970 785
618 3565 138
606 2008 -585
1988 4126 -475
4784 9059 864
2869 5177 940
8998 5171 -659
3090 5086 -267
9023 5939 17
8541 9046 137
2350 3148 -718
7971 2287 -123
3982 4620 -823
821 4367 -267
2257 9667 126
2253 7373 -769
7646 4866 -141
3624 9187 -977
6505 5574 -448
3479 1647 -29
6066 8414 188
5655 5839 -644
5099 2547 -551
746 8454 -358
747 5077 264
6572 5477 162
5306 9192 511
2075 2006 873
3192 7212 375
2382 7549 948
5649 5044 -511
5221 3726 -603
7370 8031 189
7637 466 -420
1071 6577 -322
7795 5220 -234
8330 260 753
9052 3730 -653
5550 7478 -832
6455 2978 591
1484 7350 -605
247 5604 167
8087 4635 -692
1651 4516 -175
3404 811 -297
760 8897 314
8915 1231 284
2494 7785 101
4029 901 704
7554 7850 367
6198 8037 -913
8009 5182 849
4776 9297 689
8016 1019 -410
1885 3011 75
8858 9125 468
113 893 -22
3651 8731 372
7348 318 -736
3018 2107 -643
216 4155 165
2669 1405 670
720 2241 541
5947 1630 74
6988 9615 664
2207 2039 544
5978 7869 -587
8926 7082 -477
4971 6466 996
7514 5841 -989
7443 7936 -95
2149 7083 782
4381 1869 534
1785 6476 253
6803 6659 661
6593 8700 633
2497 8272 61
1040 449 -811
8390 4697 761
5762 1294 -19
2851 3444 -275
6373 694 767
8143 7473 -544
164 374 558
5438 5936 988
8090 2144 -535
2426 4675 748
8486 7972 912
6824 7966 -573
289 7792 390
7527 5741 805
3818 4235 954
2752 3047 -439
4507 3157 138
1063 3471 135
945 5019 324
5480 7427 -479
2854 3052 -684
7093 7772 310
8415 5915 -174
4816 7994 -998
3902 7105 -69
6540 7395 -738
7303 7080 -637
1876 510 -959
6194 4096 -568
4415 7927 -467
4165 4627 395
4827 9331 -817
3752 3785 21
5901 6305 322
112 7871 -952
8139 9394 -10
179 8681 -667
7486 5109 880
2187 9087 -604
3261 410 -332
8365 883 955
7459 4928 -27
3190 8544 837
7844 282 -690
101 5659 -518
4117 8755 -319
2554 2356 -879
4312 6947 -724
3020 5153 -131
6108 2978 889
4019 4347 -183
279 764 -91
1171 5699 557
7242 1894 -62
3847 4538 244
2948 4519 535
3446 1903 441
792 5593 -556
5303 9085 38
5217 3022 171
7305 5764 -529
7634 3478 928
8936 7214 -107
5670 7117 -10
6850 5510 912
5917 624 98
2372 5747 498
9337 5597 -596
2531 3925 -150
9219 2737 340
3540 9056 -767
9620 2651 110
8213 7392 513
997 7986 -581
9686 3096 -217
5168 5248 -902
4564 4470 -342
1042 2820 952
7738 6121 908
3375 590 979
2008 2986 -968
8392 1803 -859
3939 785 -453
7573 6368 -729
1165 5677 937
7795 47 880
6495 4533 403
5139 631 125
7253 4473 459
3648 4977 -214
8252 3838 340
6296 2777 345
4327 1949 -643
999 1428 -943
1722 5537 -266
7426 1078 806
9113 3199 288
2195 2457 -283
1187 1811 171
791 2784 497
9533 7192 -410
8724 7832 -155
4532 8689 472
8797 5659 336
6149 6113 -16
8899 9422 -574
7236 9080 226
8392 856 720
299 6452 559
337 6283 -287
5510 1124 -373
41 9654 -279
7976 9105 -197
1890 276 -410
2078 2758 -643
5835 2754 86
6856 3292 218
356 9512 -435
7152 7140 483
6545 2435 83
629 101 -173
6335 998 206
9462 6368 -61
9663 5295 493
261 3556 -852
1193 7147 852
2234 6892 -348
1613 5596 848
9666 2275 -763
982 8877 -460
9265 8524 -839
6445 3135 -849
870 4940 785
359 9678 -774
2064 6688 58
4669 4222 423
5605 9399 -509
8115 8056 731
9018 380 -226
2218 1798 -838
4008 4280 -508
417 8877 404
9376 214 89
6867 2819 -515
3111 9051 303
4526 7694 -522
7261 4373 -110
8059 303 -900
1000 3594 -786
9194 1813 227
182 1917 768
4148 3954 312
5882 534 311
9116 1596 209
7444 5846 416
5919 4070 -988
8613 5319 874
7796 995 -49
2931 1543 -743
7785 1875 -359
5851 6371 -345
7752 4074 293
8046 4007 546
7454 3678 809
4365 1829 494
1526 3083 341
6476 4579 997
9137 509 -746
95 8924 -405
8062 4648 -93
5970 7110 640
5280 9596 853
349 6279 -547
1911 9367 -738
5111 3769 710
1578 6154 -841
42 6173 -156
2649 8830 -876
6251 5915 566
6245 1997 -681
3095 551 8
5569 3814 721
1738 4635 327
3092 7064 -357
9114 865 -824
3897 5305 -27
3400 2806 424
1240 4037 894
533 5763 -405
8805 4970 -488
6089 7112 493
2200 7416 189
4146 3909 610
3097 5772 342
5336 5179 -162
1300 1573 522
1088 2333 818
8687 3365 607
3315 4943 889
9502 8250 -649
3174 6785 -373
3247 6873 179
4678 8684 -438
9534 9191 -240
8403 2481 -355
330 9666 506
7839 3402 969
2284 8968 -753
7519 4849 -586
8337 2298 -847
2522 7350 -855
7869 899 713
167 1206 243
4866 5921 -546
6358 116 -825
8026 2878 -934
3139 221 -103
2512 228 844
8161 7740 444
328 6591 -785
4895 1097 31
2351 6508 93
8182 3487 35
5610 8856 341
3215 9404 -766
3804 6291 620
2070 4008 520
5232 8209 877
7953 2951 -204
3657 8848 808
521 2819 -801
5390 1567 575
7274 1051 104
3451 7295 528
3909 7182 -103
6619 152 -394
3000 1004 126
1716 7937 -238
3043 2618 919
7141 8284 -451
5694 7478 749
1988 9055 749
7989 7379 210
3538 5856 -379
4296 7299 957
6445 2824 -133
1760 6630 -970
6687 1418 -610
6001 8492 86
4720 8513 883
8166 8406 -887
1379 4526 -796
6980 5558 -207
7214 6499 634
4303 3319 32
7633 1126 -562
7643 1572 -315
6830 4890 299
8931 5007 830
8243 7404 620
