900 2920
477 374 417
52 725 174
468 307 662
563 597 463
701 417 625
82 6 36
282 622 474
788 817 790
93 180 394
477 674 481
314 748 792
797 778 187
358 541 291
216 512 364
364 333 992
707 306 86
295 330 605
542 479 813
66 678 790
312 116 891
653 450 152
621 668 656
638 411 616
691 343 475
154 432 240
625 612 2
156 742 666
837 679 5
123 263 974
737 660 426
239 169 150
350 199 612
132 112 847
447 561 416
804 184 956
2 775 77
10 364 965
766 712 257
105 873 9
709 766 156
538 385 193
24 189 706
210 468 69
51 95 222
394 841 292
98 722 970
160 197 548
46 485 441
346 519 786
881 492 351
257 724 222
338 750 234
803 763 296
421 346 532
874 776 466
491 448 510
561 416 583
323 465 148
162 720 223
206 180 613
719 769 765
348 478 804
288 262 142
627 580 364
574 179 845
474 391 736
399 475 435
524 785 454
55 681 546
676 816 700
717 564 901
877 150 124
134 353 867
646 156 994
165 237 163
821 772 339
455 316 534
641 508 46
419 302 66
242 755 774
616 49 993
812 594 111
445 660 458
883 152 127
183 784 415
142 810 950
88 554 31
693 297 585
280 353 439
487 608 89
701 452 51
20 50 173
654 452 590
635 694 7
546 662 208
663 681 167
685 646 386
857 234 19
603 700 934
713 483 989
326 72 955
578 196 1000
126 335 883
864 885 456
890 709 155
180 50 537
120 206 590
83 363 167
532 437 757
900 878 466
742 574 906
579 600 6
660 724 435
741 494 633
519 478 218
190 293 464
212 245 685
569 708 466
604 724 661
83 406 687
710 695 683
823 58 643
502 363 204
551 407 554
196 343 856
119 886 581
334 613 592
427 181 102
220 471 129
596 321 493
140 785 283
433 132 519
351 209 275
612 288 724
771 840 262
123 209 941
679 858 72
67 422 893
427 521 169
28 686 215
600 126 917
282 742 900
395 155 179
200 750 384
579 113 396
347 598 511
466 696 74
835 609 434
757 43 169
771 459 32
330 288 971
744 314 316
266 296 167
569 8 917
153 840 351
595 723 88
596 837 224
3 10 557
183 276 381
296 635 249
504 820 843
358 89 397
559 26 42
141 670 949
143 528 165
132 547 489
639 248 90
545 650 603
628 37 137
539 545 144
9 511 984
185 608 931
69 349 459
670 727 212
321 508 789
690 594 81
574 34 642
470 809 102
78 581 605
608 335 401
650 580 795
237 183 257
784 625 656
741 639 449
533 45 823
584 264 642
60 436 955
825 603 166
753 138 65
380 582 306
170 107 796
845 161 371
790 630 958
58 234 479
66 25 436
765 258 43
564 201 388
702 189 305
151 142 602
230 373 725
508 628 37
669 562 18
732 624 253
158 468 650
556 140 882
673 651 637
243 401 699
222 69 90
702 387 74
662 399 21
513 760 538
518 384 881
226 85 382
846 140 826
376 596 149
755 85 202
71 561 672
805 55 125
750 356 245
353 715 606
2 806 797
595 367 805
383 438 893
669 44 57
98 381 320
442 11 741
616 896 448
540 229 245
491 748 224
887 770 567
629 185 621
524 856 631
748 557 444
314 750 676
250 616 937
22 374 329
280 700 341
436 276 618
460 521 478
9 449 905
662 734 860
274 533 481
80 436 539
702 634 416
102 321 516
389 475 583
110 99 922
164 369 661
764 317 107
898 85 628
891 54 2
328 442 768
397 649 991
765 217 122
534 298 578
685 365 453
256 503 821
111 756 147
553 380 223
433 376 852
86 526 654
383 614 278
641 414 125
636 146 310
162 342 50
873 584 771
732 443 561
307 32 388
651 356 560
624 835 332
512 596 287
377 94 53
845 306 290
160 806 717
887 237 748
367 752 315
56 883 372
446 623 905
759 708 762
751 57 775
709 405 594
780 758 413
687 149 982
674 110 472
215 881 490
730 423 680
695 285 272
558 802 562
571 690 62
582 177 177
253 744 903
314 339 268
507 119 352
92 279 99
395 782 995
112 454 385
249 68 610
283 131 466
410 421 715
839 160 363
601 236 171
615 396 666
578 889 727
346 67 523
725 519 121
279 730 963
739 598 903
65 257 305
491 595 562
51 856 822
321 299 922
506 667 858
486 561 30
862 396 717
473 570 79
640 38 467
380 23 857
652 655 319
545 561 806
302 856 889
139 824 151
644 588 353
746 825 566
260 139 141
369 271 935
506 684 578
661 76 136
110 792 926
401 669 838
357 151 430
426 489 769
119 58 493
156 671 892
639 778 226
812 337 470
801 681 473
414 720 910
879 404 464
670 470 55
416 161 469
497 122 706
198 538 773
477 177 314
673 715 97
374 276 135
455 101 604
861 93 373
270 65 496
421 577 373
764 672 215
388 765 849
200 601 322
211 781 504
451 364 186
10 228 652
626 678 366
864 554 817
708 897 693
740 101 395
835 886 587
737 729 53
802 109 528
6 442 246
815 249 743
702 474 276
241 276 420
835 138 411
142 701 913
340 617 246
663 256 459
315 740 189
813 272 244
778 278 334
850 771 951
691 784 276
129 31 392
671 681 681
770 885 646
128 670 287
797 393 573
899 109 148
864 748 933
861 813 600
761 164 297
194 786 754
279 707 563
651 790 475
99 189 725
586 758 228
632 638 217
524 694 35
593 163 598
342 389 897
389 330 65
787 431 567
386 286 223
563 657 419
280 781 79
747 587 750
876 84 489
20 704 511
79 325 144
33 65 674
151 540 90
84 370 626
52 647 417
210 702 101
317 187 350
540 63 23
561 466 146
706 680 564
589 714 351
666 338 328
252 656 635
271 328 770
102 298 270
559 171 272
424 248 499
719 527 535
601 651 48
813 650 965
354 712 333
140 453 995
300 897 782
297 130 103
578 682 805
216 309 411
337 438 844
546 180 995
114 432 97
814 771 154
749 339 26
256 627 677
252 280 638
443 608 503
311 686 300
680 795 210
108 771 792
733 423 620
748 288 247
786 557 232
239 338 832
839 176 577
759 520 331
260 392 426
172 56 702
427 382 223
675 893 603
161 567 732
184 233 633
752 738 515
283 584 497
311 712 694
731 614 672
497 822 468
502 565 113
647 122 973
887 92 626
575 429 176
579 769 849
231 873 390
349 262 363
646 531 210
482 634 424
181 419 266
14 431 898
454 891 316
613 329 718
893 636 472
525 218 988
667 62 345
783 679 92
190 480 293
596 97 217
200 201 705
599 574 70
318 684 967
416 798 411
239 823 884
14 788 738
517 704 239
640 615 15
125 874 395
173 195 701
61 564 167
231 195 606
463 382 977
335 612 185
772 487 385
678 489 423
619 127 486
465 209 225
80 445 859
813 67 288
374 16 534
163 168 495
492 748 618
734 742 896
806 603 408
570 134 208
13 30 89
413 496 970
119 32 736
453 310 127
508 178 889
830 166 712
22 861 836
391 113 3
328 707 623
32 629 971
401 307 450
607 240 837
815 818 454
889 477 575
769 230 181
441 605 674
584 663 66
211 271 918
611 111 495
85 50 733
699 601 865
441 504 438
359 323 974
689 872 979
289 206 254
312 359 905
816 483 957
269 296 405
789 161 287
332 476 416
524 188 393
251 453 368
543 138 304
151 559 392
733 198 326
719 742 712
452 164 46
876 249 939
754 67 321
506 700 596
861 713 764
760 615 618
363 879 118
806 779 797
11 149 848
399 179 610
455 393 431
663 271 584
181 824 519
341 640 184
430 668 743
482 107 245
446 114 192
207 205 817
839 53 295
329 167 512
507 589 297
568 589 13
385 849 33
459 496 892
204 139 413
616 607 620
136 588 156
880 285 529
858 473 527
665 199 811
42 32 787
491 453 288
588 735 990
447 437 817
376 512 154
392 164 495
416 223 951
744 720 57
303 641 23
290 232 743
790 54 540
649 472 63
173 50 480
536 118 804
399 547 462
463 234 234
689 611 69
32 118 833
198 829 351
168 5 731
442 863 289
852 604 839
354 430 417
